 ,Area,Min,Max,Median,Slice
797,50,13299,13527,13400,2837
798,50,13281,13528,13399,2838
799,50,13302,13549,13393,2839
800,50,13242,13502,13370,2840
801,50,13249,13504,13374,2841
802,50,13276,13534,13370,2842
803,50,13241,13487,13364,2843
804,50,13266,13534,13386,2844
805,50,13244,13489,13357,2845
806,50,13223,13475,13353,2846
807,50,13218,13461,13347,2847
808,50,13221,13469,13353,2848
809,50,13212,13485,13359,2849
810,50,13204,13495,13352,2850
811,50,13222,13502,13350,2851
812,50,13243,13525,13371,2852
813,50,13250,13524,13363,2853
814,50,13215,13466,13355,2854
815,50,13209,13464,13362,2855
816,50,13230,13529,13357,2856
817,50,13250,13505,13361,2857
818,50,13216,13459,13362,2858
819,50,13216,13475,13370,2859
820,50,13208,13468,13354,2860
821,50,13243,13504,13363,2861
822,50,13242,13503,13364,2862
823,50,13258,13526,13365,2863
824,50,13234,13484,13365,2864
825,50,13228,13522,13372,2865
826,50,13256,13505,13384,2866
827,50,13225,13459,13375,2867
828,50,13230,13473,13362,2868
829,50,13260,13529,13362,2869
830,50,13235,13508,13361,2870
831,50,13208,13516,13373,2871
832,50,13223,13476,13370,2872
833,50,13200,13495,13349,2873
834,50,13199,13442,13342,2874
835,50,13181,13409,13326,2875
836,50,13171,13405,13331,2876
837,50,13127,13411,13319,2877
838,50,13143,13409,13320,2878
839,50,13185,13436,13329,2879
840,50,13150,13428,13320,2880
841,50,13135,13417,13322,2881
842,50,13181,13411,13320,2882
843,50,13185,13409,13311,2883
844,50,13200,13425,13309,2884
845,50,13175,13408,13309,2885
846,50,13202,13426,13322,2886
847,50,13211,13450,13349,2887
848,50,13244,13472,13369,2888
849,50,13213,13426,13354,2889
850,50,13215,13471,13375,2890
851,50,13199,13458,13381,2891
852,50,13268,13483,13378,2892
853,50,13248,13466,13400,2893
854,50,13165,13488,13389,2894
855,50,13133,13489,13346,2895
856,50,13172,13473,13393,2896
857,50,13269,13560,13452,2897
858,50,13229,13573,13473,2898
859,50,13257,13539,13466,2899
860,50,13245,13541,13432,2900
861,50,13190,13521,13395,2901
862,50,13214,13456,13369,2902
863,50,13192,13474,13365,2903
864,50,13179,13503,13378,2904
865,50,13231,13509,13405,2905
866,50,13165,13499,13380,2906
867,50,13161,13490,13378,2907
868,50,13159,13485,13389,2908
869,50,13197,13511,13386,2909
870,50,13224,13512,13392,2910
871,50,13239,13506,13400,2911
872,50,13237,13487,13408,2912
873,50,13240,13493,13410,2913
874,50,13138,13471,13379,2914
