group;ID;video_file;sub_stack;Slice;Median;seqID;time;m.center;filteredsignal;filt_med;peak;phase;Intensity;Distance;Slope;type;NF;Call.duration;breathidx
2;4;386;IR_2019-06-15_0386_out.csv;2669;1916021889;IR_2019-06-15_0386_out.csv 6;8896666667;-1278411597;-1244927476;1919370301;262;2;1.562354561;0.3;6.322639493;n;n;;4
2;4;386;IR_2019-06-15_0386_out.csv;2678;2022012414;IR_2019-06-15_0386_out.csv 5;8926666667;128436238;146189936;2023787784;204;3;NA;NA;NA;n;n;;3
2;4;386;IR_2019-06-15_0386_out.csv;2678;2072257345;IR_2019-06-15_0386_out.csv 6;8926666667;283942964;274116408;207127469;271;3;0.296558237;0.366666667;-0.790101315;n;n;;4
2;4;386;IR_2019-06-15_0386_out.csv;2689;2042601522;IR_2019-06-15_0386_out.csv 6;8963333333;-12615273;-29379052;2040925144;282;1;1.583183715;0.233333333;-6.320299047;n;n;;5
2;4;386;IR_2019-06-15_0386_out.csv;2696;188428315;IR_2019-06-15_0386_out.csv 6;8986666667;-1595798988;-1252197117;1918643337;289;2;NA;NA;NA;n;n;;5
2;5;412;IR_2019-06-16_0412_out.csv;4402;1545760585;IR_2019-06-16_0412_out.csv 7;1467333333;-917939996;-87201461;1550353123;3;2;1.630315681;0.433333333;3.495050703;c;n;6;1
2;5;412;IR_2019-06-16_0412_out.csv;4415;1708792153;IR_2019-06-16_0412_out.csv 7;1471666667;712375685;729635845;1710518169;16;3;0.36488191;0.8;-0.564562103;c;n;6;1
2;5;412;IR_2019-06-16_0412_out.csv;4439;1672303962;IR_2019-06-16_0412_out.csv 7;1479666667;347493775;332723142;1670826898;40;1;1.08003563;0.866666667;-1.416553143;ac;n;;2
2;5;412;IR_2019-06-16_0412_out.csv;4465;1564300399;IR_2019-06-16_0412_out.csv 7;1488333333;-732541855;-770226563;1560531928;66;2;0.617715443;0.3;2.821441172;ac;n;;2
2;5;412;IR_2019-06-16_0412_out.csv;4474;1626071943;IR_2019-06-16_0412_out.csv 7;1491333333;-114826412;-529636;1637024948;75;3;0.478217286;1.966666667;0.087302408;ac;n;;2
2;5;412;IR_2019-06-16_0412_out.csv;4533;1673893671;IR_2019-06-16_0412_out.csv 7;1511;363390874;30721903;1668276487;134;1;0.734379103;0.466666667;-1.713865042;n;n;;3
2;5;412;IR_2019-06-16_0412_out.csv;4547;1600455761;IR_2019-06-16_0412_out.csv 7;1515666667;-370988228;-399462748;1597608309;148;2;0.423845876;0.4;1.22907376;n;n;;3
2;5;412;IR_2019-06-16_0412_out.csv;4559;1642840349;IR_2019-06-16_0412_out.csv 7;1519666667;52857648;31253273;1640679911;160;3;0.366149606;2.5;0.124202138;n;n;;3
2;5;412;IR_2019-06-16_0412_out.csv;4634;1679455309;IR_2019-06-16_0412_out.csv 7;1544666667;419007254;393263395;1676880924;235;1;0.92639942;1.033333333;-0.666159498;n;n;;4
2;5;412;IR_2019-06-16_0412_out.csv;4665;1586815367;IR_2019-06-16_0412_out.csv 7;1555;-507392166;-477642713;1589790313;266;2;0.256576843;0.366666667;0.913965975;n;n;;4
2;5;412;IR_2019-06-16_0412_out.csv;4676;1612473052;IR_2019-06-16_0412_out.csv 7;1558666667;-250815324;-15724074;162183051;277;3;0.280671139;2.166666667;-0.115950548;n;n;;4
2;5;412;IR_2019-06-16_0412_out.csv;4741;1584405938;IR_2019-06-16_0412_out.csv 7;1580333333;-531486462;-40996994;159655759;342;1;0.977633014;0.233333333;-5.443134183;n;n;;5
2;5;412;IR_2019-06-16_0412_out.csv;4748;1486642636;IR_2019-06-16_0412_out.csv 7;1582666667;-1509119477;-1268506728;1510703911;349;2;NA;NA;NA;n;n;;5
